#,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)","Model checking/Formal verification (e.g., VeriSmart)","Automated patcher/Bytecode hardening (e.g., sGuard)",Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",Other,Low false positives (tool does not wrongly indicate that there is a vulnerability),Low false negatives (tool does not miss vulnerabilities that it should detect),"Ease of use (e.g., simple CLI, integrated into IDE)",Documentation,"Report quality (i.e., detail of vulnerabilities detected)",Reentrancy,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,Token standard incompatibility,Function/State Visibility Error,Improper asset locks or frozen asset,Unhandled or mishandled exception,Timestamp Dependence,Integer Overflow and Underflow,Other,Reentrancy,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,Token standard incompatibility,Function/State Visibility Error,Improper asset locks or frozen asset,Unhandled or mishandled exception,Timestamp Dependence,Integer Overflow and Underflow,Other,Do you find security tools helpful when auditing smart contracts?,Static Analyzer,Fuzzer,Symbolic Executor,Formal Verification tool,Runtime monitor tool,Manual Auditing,Runtime monitoring,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",Other,Does the organization you work for develop in-house automated tools?,Slither,Manticore,Mythril,Echidna,Foundry's propert-based fuzzer,Remix-analyzer,Oyente,Ethlint,Solhint,Maian,Securify2,MythX (Consensys),Certora’s prover,Other linter (similar to Ethlint),Other static analyzer (similar to Slither),Other fuzzer (Similar to Echidna),Other symbolic execution tool (Similar to Mythril),"Other formal verification / model checking tool (e.g., Dafny or Act)","Other runtime monitoring (e.g., forta)",Other,"If the organization you work for runs any tool that requires specifications (e.g., for formal verification), who is going to write them?",Other,What is the percentage of audit time spent on running/fine-tuning/validating the results of tools?,Start Date (UTC),Submit Date (UTC),Network ID,Tags
uhv5fu3bcp4tvivr4ouhv5fucou2rsk7,,,"Static analysis (e.g., slither)",,,,,,"Developers toolkits (e.g., hardhat/foundry)",Personal scanner,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,,,,Token standard incompatibility,,,,,,,,,,,,,,,,,Business logic errors,1,,,,,,Manual Auditing,,,,,No,Slither,,,,,,,,,,,,,,,,,,,,Developers of the dapp,,0%-20%,2023-03-20 15:47:57,2023-03-20 15:56:01,d9484d35c2,
zjmc5dvakuk16l827wuzjmca41lsn243,"IDE (e.g., Remix)",,"Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)",,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Strongly agree,Strongly agree,Agree,Agree,Agree,,,Logic errors,,,,,,,,,,,Logic errors,,,,,,,,,2,,,,,Runtime monitor tool,Manual Auditing,Runtime monitoring,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,Yes,Slither,,,,,,,,,,,,,,Other static analyzer (similar to Slither),,,,"Other runtime monitoring (e.g., forta)",,I don't know,,0%-20%,2023-03-19 12:42:32,2023-03-19 12:46:07,0fa8357259,
5awp77iwxuue30s672pn5awp7xnvpg44,"IDE (e.g., Remix)",,"Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)","Model checking/Formal verification (e.g., VeriSmart)",,,,,Disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,,,,,,,,,,,,,,Logic errors,,,,,,,,,3,,,Symbolic Executor,,,Manual Auditing,,,,,Yes and it open-source some of them,,,,,Foundry's propert-based fuzzer,,,,,,,,,,,,Other symbolic execution tool (Similar to Mythril),,,,Auditors,,0%-20%,2023-03-15 13:06:13,2023-03-15 13:10:44,ebcab75f5f,
jcvmc3aavzrwgj1gkmjcvmcn00f096h9,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)",,,,,,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Strongly agree,Agree,Strongly agree,Agree,,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,,,Improper asset locks or frozen asset,Unhandled or mishandled exception,,Integer Overflow and Underflow,,,,Logic errors,,,,Improper asset locks or frozen asset,Unhandled or mishandled exception,,,,2,,,,,,Manual Auditing,,,"Using offline tools (e.g., static analyzers and fuzzers)",,No,Slither,,,,Foundry's propert-based fuzzer,,,,Solhint,,,,,,,,,,,,I don't know,,0%-20%,2023-03-14 19:14:17,2023-03-14 19:22:01,e6c87b2407,
86no0rxl5suckmq5v86nom824bdk9m7r,"IDE (e.g., Remix)",,"Static analysis (e.g., slither)",,,,,,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Reentrancy,Absence of coding logic or sanity check,Logic errors,,,,,,,,,,,Logic errors,Oracle manipulation,,,,,,,,1,,,,,,Manual Auditing,Runtime monitoring,"Running/Extending Tests (e.g., unit testing, integration testing)",,,No,,,,,,,,,,,,,,,,,,,,,,,,2023-03-14 19:06:50,2023-03-14 19:11:48,9a21652b69,
oliwkdmykipoiuvq0aguoliwkdmpbyfv,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)","Model checking/Formal verification (e.g., VeriSmart)",,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,,,,,Token standard incompatibility,Function/State Visibility Error,,,,,,,,Logic errors,Oracle manipulation,,,Improper asset locks or frozen asset,,Timestamp Dependence,,,2,Static Analyzer,,,,,Manual Auditing,,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,No,Slither,,,,Foundry's propert-based fuzzer,,,,Solhint,,,,,,Other static analyzer (similar to Slither),,,,,,I don't know,,0%-20%,2023-03-14 16:20:45,2023-03-14 16:31:43,08aa355885,
zvagl4yy3m810r3zvagl4v74d7ip54uf,"IDE (e.g., Remix)",,"Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)","Model checking/Formal verification (e.g., VeriSmart)",,,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Strongly agree,Agree,Agree,Agree,,,Logic errors,Oracle manipulation,,,,,,Integer Overflow and Underflow,,,,,,,,Improper asset locks or frozen asset,,,,,3,,,,,,Manual Auditing,,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,Yes and it open-source some of them,Slither,,,Echidna,Foundry's propert-based fuzzer,,,,Solhint,,,,,,,,Other symbolic execution tool (Similar to Mythril),,,,Auditors and developers,,0%-20%,2023-03-14 14:26:33,2023-03-14 14:32:33,ebd4144a0b,
ptpbyblrbsh4h279zqcptp1u23talwyp,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)","Model checking/Formal verification (e.g., VeriSmart)",,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Agree,Strongly agree,Agree,Agree,Reentrancy,,,,Token standard incompatibility,,,Unhandled or mishandled exception,Timestamp Dependence,Integer Overflow and Underflow,,,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,,,Improper asset locks or frozen asset,,,,,2,Static Analyzer,Fuzzer,Symbolic Executor,Formal Verification tool,Runtime monitor tool,Manual Auditing,,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,Yes and it open-source some of them,,,Mythril,,,,,,,,,MythX (Consensys),,,Other static analyzer (similar to Slither),Other fuzzer (Similar to Echidna),,"Other formal verification / model checking tool (e.g., Dafny or Act)",,,Auditors and developers,,0%-20%,2023-03-14 7:40:30,2023-03-14 7:54:42,acc0c15640,
w20ayvqrs091xhycw206p07ljzuwed00,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)",,,,"Developers toolkits (e.g., hardhat/foundry)",,Disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,,,,Oracle manipulation,,,Improper asset locks or frozen asset,,Timestamp Dependence,,,,,,Oracle manipulation,,,Improper asset locks or frozen asset,,Timestamp Dependence,,,5,,,,,,Manual Auditing,,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,No,Slither,Manticore,Mythril,Echidna,Foundry's propert-based fuzzer,,,Ethlint,Solhint,,,,,Other linter (similar to Ethlint),Other static analyzer (similar to Slither),Other fuzzer (Similar to Echidna),,,,,Auditors,,21%-40%,2023-03-11 15:28:46,2023-03-11 15:36:14,f21a4176ef,
bywn5liqc6b56trby4h10rnkk4b2y6xm,"IDE (e.g., Remix)",,"Static analysis (e.g., slither)",,"Symbolic execution (e.g., Mythril)",,,,"Developers toolkits (e.g., hardhat/foundry)",,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Reentrancy,,,,,Function/State Visibility Error,,,,Integer Overflow and Underflow,"Any issue that need to be checked for a lot of instances (for example, unused instance/field, miss of event on critical state variable updation, etc.)",,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,,,Improper asset locks or frozen asset,,,,"inconsistances between implementation and documentaiton, insufficient balance (double spending)",4,,,,,,Manual Auditing,,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",Using symbolic execution tool (MythX),,Slither,,,,,,,Ethlint,Solhint,,,MythX (Consensys),,,,,,,,,Developers of the dapp,,0%-20%,2023-03-10 23:28:59,2023-03-11 0:10:48,f49f41e49f,
